Scheme Name,Target Group,Demographic Segmentation,Geographic Segmentation,Economic Segmentation,Type of Benefit
Post Office Savings Account,General population,All demographics,Urban/Rural,General population,Savings
Post Office Recurring Deposit (RD),General population,All demographics,Urban/Rural,General population,Recurring Savings
Post Office Time Deposit (TD),General population,All demographics,Urban/Rural,General population,Time Deposit
Post Office Monthly Income Scheme (MIS),General population,All demographics,Urban/Rural,General population,Monthly Income
Senior Citizen Savings Scheme (SCSS),Senior citizens,Senior citizens,Urban/Rural,Senior citizens,Savings
Sukanya Samriddhi Yojana (SSA),Girl child,Girls (below 10 years),Urban/Rural,Girls' welfare,Savings
National Savings Certificate (NSC),General population,All demographics,Urban/Rural,General population,Savings
Public Provident Fund (PPF),General population,All demographics,Urban/Rural,General population,Savings
Kisan Vikas Patra (KVP),Farmers,Farmers,Rural,Agricultural income,Savings/Investment
Postal Life Insurance (PLI),Government employees,Government employees,Urban/Rural,Salaried professionals,Insurance
Rural Postal Life Insurance (RPLI),Rural population,Rural population,Rural,Rural,Insurance
Pradhan Mantri Jan Dhan Yojana (PMJDY),Low-income households,Low-income households,Urban/Rural,Low-income households,Banking/Savings
Pradhan Mantri Jeevan Jyoti Bima Yojana (PMJJBY),General population,Ages 18-50,Urban/Rural,Salaried professionals,Insurance
Pradhan Mantri Suraksha Bima Yojana (PMSBY),General population,Ages 18-70,Urban/Rural,Salaried professionals,Insurance
Atal Pension Yojana (APY),Unorganized sector workers,Ages 18-40,Urban/Rural,Unorganized sector workers,Pension
Mahila Samriddhi Yojana,Women,Rural women,Rural,Low-income women,Savings/Investment
Stand-Up India Scheme,SC/ST and women entrepreneurs,"Women, SC/ST",Urban/Rural,Entrepreneurs,Loan/Credit
Kisan Credit Card (KCC),Farmers,Farmers,Rural,Agricultural income,Credit
Pradhan Mantri Fasal Bima Yojana (PMFBY),Farmers,Farmers,Rural,Farmers,Insurance
Deen Dayal Upadhyaya Antyodaya Yojana (DAY),Rural/urban poor,Rural/urban poor,Rural/Urban,Poor households,Social Security/Pension
Pradhan Mantri Kisan Maandhan Yojana (PMKMY),Small and marginal farmers,Small and marginal farmers,Rural,Small farmers,Pension
Gramin Bhandaran Yojana,Farmers,Farmers,Rural,Agricultural income,Storage Facility
MUDRA Yojana,Micro-entrepreneurs,Small businesses,Urban/Rural,Small businesses,Credit
National Social Assistance Program (NSAP),Economically disadvantaged,"Senior citizens, widows, disabled",Rural,Economically disadvantaged,Pension/Assistance
Weather-Based Crop Insurance Scheme (WBCIS),Farmers,Farmers,Rural,Agricultural income,Insurance
Livestock Insurance Scheme,Farmers,Farmers,Rural,Livestock owners,Insurance
